GP,F,A,GD,P
38,39,33,6,52
38,45,81,-36,24
38,51,27,24,70
34,48,57,-9,36
34,42,47,-5,44
38,37,79,-42,36
38,70,47,23,72
34,65,44,21,57
34,53,39,14,52
38,57,50,7,65
32,31,39,-8,37
38,54,29,25,69
28,30,41,-11,26
34,48,47,1,44
38,38,67,-29,35
38,44,51,-7,49
34,56,67,-11,34
38,61,37,24,68
38,35,66,-31,39
36,49,41,8,57
34,25,50,-25,35
34,46,51,-5,44
38,34,36,-2,41
38,46,50,-4,51
38,41,51,-10,43
38,40,39,1,45
38,51,57,-6,48
38,58,43,15,75
38,60,44,16,59
30,22,42,-20,22
34,51,50,1,44
34,39,41,-2,48
38,62,49,13,55
34,44,33,11,66
38,65,43,22,71
42,47,47,0,61
34,49,54,-5,42
38,31,43,-12,37
36,69,42,27,67
38,63,38,25,70
38,42,61,-19,46
34,53,31,22,65
38,41,55,-14,47
38,66,61,5,46
30,60,13,47,72
38,42,55,-13,42
38,58,46,12,58
34,71,37,34,67
34,42,67,-25,31
38,36,40,-4,44
38,39,61,-22,44
42,36,77,-41,24
34,40,59,-19,38
38,43,59,-16,40
38,71,24,47,87
36,32,61,-29,34
38,44,62,-18,40
38,71,27,44,82
38,35,57,-22,38
38,38,49,-11,41
38,44,50,-6,45
38,58,45,13,62
38,39,19,20,75
34,60,59,1,42
38,47,42,5,58
42,50,44,6,64
38,49,40,9,61
30,45,21,24,52
42,47,46,1,53
38,59,24,35,76
38,48,49,-1,50
38,38,55,-17,45
38,77,44,33,75
38,26,75,-49,21
38,36,43,-7,47
38,46,58,-12,45
30,25,56,-31,19
42,49,28,21,71
34,56,39,17,51
42,46,59,-13,50
38,53,38,15,69
40,64,52,12,60
42,55,83,-28,36
38,51,33,18,64
38,43,57,-14,45
34,39,38,1,50
34,42,50,-8,42
38,46,60,-14,45
38,43,44,-1,51
38,45,46,-1,49
38,41,48,-7,44
38,47,58,-11,46
38,45,53,-8,46
34,55,40,15,60
38,41,47,-6,44
38,62,43,19,68
37,38,47,-9,41
42,47,50,-3,49
34,42,51,-9,43
38,39,34,5,53
38,42,29,13,71
30,25,39,-14,29
38,27,22,5,50
36,38,53,-15,38
36,42,70,-28,29
38,36,39,-3,54
38,41,56,-15,46
38,34,55,-21,36
34,58,46,12,55
38,39,56,-17,42
38,44,53,-9,45
38,28,68,-40,27
38,34,41,-7,47
34,61,37,24,57
34,43,46,-3,40
34,30,52,-22,30
30,62,23,39,71
38,54,32,22,68
38,37,80,-43,34
42,66,63,3,61
38,56,57,-1,49
38,41,42,-1,50
30,41,49,-8,34
38,40,63,-23,39
42,71,28,43,82
38,43,61,-18,37
38,46,53,-7,49
34,57,58,-1,44
36,36,67,-31,35
38,24,51,-27,35
38,57,37,20,70
34,37,46,-9,41
38,36,31,5,58
28,28,33,-5,39
38,52,49,3,53
38,73,58,15,60
38,40,59,-19,42
42,60,58,2,52
38,42,46,-4,52
38,41,60,-19,38
34,50,56,-6,43
36,45,64,-19,38
42,40,45,-5,53
38,37,48,-11,44
34,39,34,5,49
38,40,52,-12,39
34,42,46,-4,44
42,52,41,11,65
40,72,41,31,82
30,29,35,-6,35
38,49,52,-3,46
34,64,41,23,66
42,33,52,-19,41
38,52,73,-21,38
42,57,42,15,68
38,42,58,-16,46
34,43,45,-2,45
38,75,37,38,73
42,59,40,19,69
38,37,53,-16,38
34,33,49,-16,35
34,37,45,-8,37
34,32,58,-26,31
38,52,50,2,40
38,72,37,35,73
38,25,51,-26,32
38,65,40,25,69
38,47,45,2,55
34,42,47,-5,39
38,34,66,-32,32
38,42,64,-22,41
38,52,56,-4,45
30,36,26,10,49
34,30,42,-12,35
38,30,51,-21,36
38,39,77,-38,25
38,45,75,-30,31
36,42,71,-29,33
38,66,36,30,66
38,37,54,-17,42
38,34,43,-9,46
30,25,42,-17,23
42,57,57,0,51
38,41,55,-14,50
36,53,31,22,63
34,33,45,-12,36
38,52,47,5,56
38,38,48,-10,44
34,74,29,45,75
38,31,78,-47,21
28,41,38,3,41
42,59,59,0,64
34,64,23,41,79
38,52,61,-9,46
34,46,42,4,50
34,39,49,-10,36
38,67,29,38,78
42,45,46,-1,52
38,33,39,-6,46
42,51,31,20,74
38,75,49,26,64
34,46,47,-1,38
38,37,62,-25,40
38,45,47,-2,49
38,51,39,12,57
34,58,61,-3,46
34,65,40,25,64
42,46,30,16,72
38,59,44,15,67
38,43,59,-16,37
38,26,54,-28,41
34,74,33,41,74
34,27,54,-27,35
30,28,34,-6,35
38,49,57,-8,48
34,54,49,5,48
38,30,53,-23,42
38,37,62,-25,38
42,51,42,9,65
38,38,51,-13,38
38,59,55,4,58
42,54,66,-12,49
38,49,44,5,51
34,48,41,7,63
34,55,54,1,49
42,43,47,-4,53
38,44,50,-6,43
36,45,51,-6,43
38,73,44,29,74
36,59,32,27,69
38,31,59,-28,30
38,75,41,34,79
34,50,46,4,55
28,34,25,9,51
38,41,48,-7,46
34,46,54,-8,38
38,45,48,-3,48
38,34,49,-15,41
30,45,20,25,66
38,53,60,-7,48
37,32,52,-20,27
34,53,46,7,50
38,50,69,-19,37
30,41,45,-4,42
38,38,64,-26,36
42,40,41,-1,53
38,45,45,0,51
36,33,56,-23,35
38,53,43,10,56
38,51,43,8,56
42,50,56,-6,50
34,61,64,-3,45
34,44,70,-26,27
38,71,45,26,76
38,40,52,-12,42
38,60,32,28,63
34,38,66,-28,26
34,67,28,39,72
30,42,26,16,48
38,33,36,-3,42
34,52,60,-8,38
38,46,39,7,55
38,48,58,-10,46
34,32,57,-25,30
34,43,42,1,49
36,39,47,-8,38
34,36,40,-4,45
30,42,43,-1,41
34,32,70,-38,28
38,66,34,32,78
38,34,53,-19,34
42,63,45,18,71
42,33,66,-33,34
38,32,43,-11,42
42,50,58,-8,52
38,48,71,-23,38
36,34,42,-8,46
38,37,41,-4,45
42,54,64,-10,52
34,32,48,-16,41
34,39,75,-36,30
34,39,44,-5,52
38,45,41,4,48
42,56,52,4,63
34,30,43,-13,40
42,37,58,-21,40
34,41,55,-14,37
38,56,46,10,49
38,45,66,-21,39
38,50,53,-3,44
34,43,32,11,52
38,40,47,-7,46
36,59,70,-11,40
42,57,55,2,63
34,31,56,-25,32
34,43,60,-17,39
34,39,25,14,59
38,29,46,-17,44
42,70,29,41,83
42,66,68,-2,58
38,66,41,25,69
38,48,38,10,56
38,36,33,3,51
34,35,58,-23,29
38,38,65,-27,39
33,32,42,-10,36
42,48,48,0,55
38,50,52,-2,52
38,51,60,-9,52
34,49,63,-14,43
42,55,65,-10,51
38,55,54,1,57
38,65,49,16,63
42,48,63,-15,56
34,33,53,-20,33
34,45,37,8,51
34,35,50,-15,38
36,42,60,-18,40
38,39,43,-4,44
34,31,48,-17,35
34,44,53,-9,44
38,32,61,-29,29
38,45,37,8,64
34,49,47,2,45
34,44,44,0,46
38,46,80,-34,43
38,36,57,-21,30
42,46,54,-8,56
38,44,55,-11,46
34,39,51,-12,35
34,72,37,35,73
42,44,48,-4,51
38,44,52,-8,48
38,53,38,15,59
38,54,51,3,52
38,53,69,-16,45
42,37,40,-3,52
38,44,54,-10,44
38,51,39,12,64
38,70,27,43,78
42,48,53,-5,53
38,62,40,22,65
34,43,66,-23,29
38,31,51,-20,35
34,40,57,-17,36
38,45,43,2,50
34,50,36,14,50
38,49,45,4,52
36,46,33,13,58
28,40,33,7,39
38,63,40,23,77
38,36,47,-11,41
38,39,35,4,57
34,34,36,-2,45
38,37,69,-32,26
38,31,50,-19,43
38,46,50,-4,47
38,45,55,-10,44
38,34,45,-11,51
38,36,73,-37,25
34,37,50,-13,38
42,48,48,0,63
42,49,63,-14,51
38,40,59,-19,34
38,31,42,-11,44
34,51,64,-13,36
38,67,58,9,64
38,52,58,-6,47
38,45,52,-7,51
38,50,58,-8,53
38,33,52,-19,44
38,44,49,-5,49
42,49,45,4,59
34,33,58,-25,33
34,37,39,-2,42
38,40,40,0,45
38,53,58,-5,45
34,33,73,-40,28
34,34,32,2,50
38,48,68,-20,42
42,47,54,-7,49
30,47,37,10,45
34,66,40,26,65
38,35,46,-11,46
42,63,55,8,64
34,47,26,21,54
38,34,34,0,57
38,56,50,6,52
42,56,53,3,58
38,20,63,-43,23
40,46,65,-19,38
30,33,45,-12,28
34,47,42,5,51
38,52,56,-4,48
38,60,51,9,63
38,36,59,-23,39
38,40,56,-16,42
38,32,81,-49,17
42,56,42,14,65
30,35,42,-7,41
35,61,37,24,60
38,47,51,-4,48
34,35,51,-16,36
38,51,38,13,62
34,54,61,-7,45
28,24,20,4,42
42,42,64,-22,43
38,47,52,-5,57
34,33,49,-16,35
38,35,42,-7,44
38,70,40,30,70
38,52,53,-1,45
42,64,49,15,73
38,58,45,13,58
38,56,33,23,62
38,46,45,1,58
38,48,44,4,62
34,51,42,9,49
38,34,75,-41,30
34,53,52,1,45
30,11,42,-31,17
38,42,66,-24,34
38,34,58,-24,41
34,53,53,0,52
38,54,51,3,52
42,61,48,13,66
38,45,46,-1,49
38,60,54,6,56
38,46,69,-23,39
42,38,69,-31,35
38,58,57,1,56
34,45,44,1,50
38,52,61,-9,43
42,45,57,-12,42
38,31,47,-16,43
36,39,49,-10,40
34,34,42,-8,40
38,35,49,-14,47
38,46,47,-1,52
42,44,63,-19,43
38,54,54,0,42
34,36,45,-9,43
42,47,40,7,60
38,45,45,0,51
34,56,44,12,51
38,47,48,-1,46
38,40,34,6,55
28,33,34,-1,34
30,63,18,45,67
28,35,27,8,49
38,48,62,-14,39
38,83,41,42,75
38,69,36,33,81
42,57,52,5,58
34,54,56,-2,49
34,40,56,-16,38
34,64,56,8,49
38,62,53,9,58
34,38,52,-14,42
38,51,48,3,49
42,58,63,-5,52
38,74,34,40,75
36,41,60,-19,37
38,33,48,-15,46
34,40,37,3,56
34,46,50,-4,43
38,46,49,-3,48
38,50,57,-7,44
38,53,50,3,52
38,50,39,11,59
38,47,61,-14,45
38,43,47,-4,49
36,43,53,-10,42
38,36,50,-14,42
34,37,71,-34,33
38,38,41,-3,50
34,61,39,22,60
38,62,47,15,59
30,29,57,-28,25
34,55,39,16,54
34,38,50,-12,38
38,39,51,-12,42
38,43,42,1,56
38,26,54,-28,29
42,48,38,10,67
42,44,45,-1,60
37,45,49,-4,45
38,63,31,32,80
38,52,47,5,55
38,45,43,2,52
38,59,41,18,63
38,34,59,-25,39
38,85,62,23,60
38,54,31,23,71
38,54,53,1,58
34,37,39,-2,43
34,31,58,-27,29
34,58,50,8,55
38,44,51,-7,45
38,71,32,39,80
34,40,45,-5,44
34,36,48,-12,33
38,36,41,-5,47
34,47,42,5,52
38,50,40,10,56
38,39,40,-1,50
38,42,81,-39,24
38,44,49,-5,46
38,46,68,-22,49
34,50,56,-6,45
38,27,56,-29,24
38,59,50,9,60
30,22,38,-16,33
34,31,45,-14,38
40,38,77,-39,28
38,50,48,2,58
38,51,35,16,61
34,45,58,-13,37
38,73,45,28,67
38,42,48,-6,37
38,37,41,-4,44
38,56,34,22,69
38,44,48,-4,50
34,41,52,-11,41
34,48,47,1,51
34,34,41,-7,35
38,42,44,-2,51
34,50,43,7,46
42,65,34,31,76
42,57,55,2,69
34,27,47,-20,35
34,31,40,-9,41
42,39,45,-6,49
38,47,43,4,51
38,39,54,-15,41
34,54,33,21,57
30,31,44,-13,34
38,43,72,-29,36
42,53,55,-2,55
34,58,48,10,57
38,54,34,20,66
30,27,57,-30,22
38,39,59,-20,38
34,60,38,22,59
38,51,50,1,54
38,39,62,-23,40
30,32,34,-2,35
38,50,53,-3,52
42,54,67,-13,48
30,29,38,-9,40
38,46,68,-22,41
34,39,52,-13,38
38,33,57,-24,33
38,51,70,-19,38
38,48,53,-5,44
38,47,60,-13,41
34,71,42,29,67
34,35,48,-13,43
38,67,27,40,86
38,41,68,-27,33
34,38,54,-16,31
38,33,44,-11,40
38,29,48,-19,38
38,48,45,3,52
38,43,42,1,51
38,37,67,-30,30
34,26,44,-18,39
38,45,53,-8,49
38,41,73,-32,30
38,42,43,-1,50
34,35,60,-25,34
34,53,38,15,50
38,42,37,5,58
34,50,39,11,56
34,29,48,-19,27
38,36,54,-18,37
38,35,40,-5,50
38,60,51,9,53
30,32,48,-16,30
38,67,46,21,55
42,49,60,-11,48
38,37,54,-17,41
44,65,40,25,72
38,64,35,29,74
38,37,43,-6,45
38,50,43,7,59
34,47,53,-6,42
38,26,55,-29,33
34,28,65,-37,17
38,43,65,-22,41
36,40,40,0,41
42,48,42,6,56
38,49,73,-24,44
34,47,44,3,56
34,61,28,33,74
38,40,39,1,51
38,29,69,-40,25
34,80,38,42,71
42,48,62,-14,45
38,35,58,-23,35
38,41,40,1,53
42,64,40,24,74
38,49,44,5,62
42,47,52,-5,51
38,36,59,-23,32
38,33,36,-3,52
38,68,43,25,63
42,42,51,-9,52
34,47,55,-8,47
42,52,44,8,57
38,34,54,-20,36
38,47,64,-17,45
34,45,65,-20,34
35,61,38,23,62
38,42,48,-6,50
38,42,34,8,61
34,29,50,-21,32
36,36,52,-16,42
34,69,41,28,70
38,45,66,-21,32
34,59,40,19,62
42,52,44,8,61
42,52,43,9,71
38,56,51,5,54
34,63,39,24,60
30,42,26,16,54
42,47,56,-9,52
34,27,34,-7,37
38,34,69,-35,27
42,28,53,-25,44
38,44,41,3,60
42,49,52,-3,47
38,56,65,-9,46
38,39,55,-16,40
42,49,50,-1,55
38,41,46,-5,49
34,63,43,20,64
38,48,65,-17,42
38,47,58,-11,48
42,44,34,10,64
34,72,40,32,63
38,41,63,-22,37
38,36,22,14,65
30,31,35,-4,36
34,33,48,-15,33
42,54,63,-9,51
38,53,42,11,59
34,36,54,-18,36
38,34,47,-13,41
42,36,46,-10,52
34,41,60,-19,34
42,52,50,2,58
38,40,58,-18,41
38,67,34,33,84
38,57,58,-1,53
38,24,61,-37,20
34,36,37,-1,54
42,46,51,-5,47
38,35,60,-25,35
38,38,50,-12,43
34,52,53,-1,38
38,54,54,0,56
38,38,60,-22,39
42,55,56,-1,53
42,58,62,-4,52
34,47,58,-11,38
42,39,69,-30,30
38,47,70,-23,35
38,44,54,-10,47
42,42,55,-13,51
38,36,65,-29,30
42,44,54,-10,50
38,48,50,-2,47
34,48,42,6,55
42,50,52,-2,50
36,35,67,-32,37
38,44,56,-12,44
38,39,56,-17,41
38,37,42,-5,45
38,62,36,26,73
34,40,38,2,44
34,35,37,-2,47
38,63,49,14,60
42,49,44,5,54
38,41,51,-10,45
38,38,64,-26,31
34,40,62,-22,31
38,45,56,-11,47
38,30,67,-37,26
30,41,38,3,50
42,46,45,1,53
34,52,41,11,55
38,41,44,-3,44
38,65,46,19,64
34,34,47,-13,31
34,49,30,19,62
34,38,54,-16,40
38,32,74,-42,30
38,48,48,0,55
34,40,44,-4,43
38,46,56,-10,46
38,44,49,-5,46
42,57,50,7,60
34,43,34,9,52
42,32,43,-11,50
42,43,53,-10,50
38,50,38,12,67
38,65,65,0,53
38,39,47,-8,44
34,54,63,-9,46
38,40,71,-31,35
34,42,49,-7,46
42,46,56,-10,48
38,56,57,-1,46
38,46,61,-15,41
42,55,67,-12,49
38,51,62,-11,43
38,46,51,-5,52
38,29,64,-35,35
38,58,40,18,64
42,37,43,-6,50
34,37,70,-33,26
38,51,53,-2,52
38,45,49,-4,49
38,69,42,27,76
34,34,39,-5,53
42,46,56,-10,51
38,41,57,-16,44
38,70,43,27,76
34,60,52,8,59
38,63,57,6,54
38,27,60,-33,28
38,43,61,-18,36
38,37,61,-24,34
34,47,39,8,53
38,83,41,42,80
38,50,40,10,53
38,61,48,13,69
34,71,40,31,61
34,50,62,-12,40
38,45,68,-23,40
34,48,41,7,49
38,43,71,-28,40
38,48,42,6,53
34,43,67,-24,33
42,48,47,1,48
38,48,74,-26,36
38,58,22,36,79
38,45,45,0,51
38,44,65,-21,45
38,50,46,4,47
34,57,55,2,45
34,65,26,39,75
34,55,45,10,54
42,38,41,-3,50
38,52,53,-1,55
38,68,42,26,69
34,67,50,17,55
42,49,49,0,58
42,40,39,1,53
30,28,59,-31,24
42,46,43,3,61
34,51,44,7,59
38,50,46,4,48
34,52,36,16,52
30,41,31,10,48
34,79,37,42,70
38,41,67,-26,38
34,39,43,-4,45
42,38,70,-32,28
42,52,58,-6,51
34,40,56,-16,23
38,30,62,-32,31
34,26,60,-34,25
38,40,34,6,50
34,26,58,-32,22
34,54,32,22,67
42,62,43,19,64
38,38,46,-8,47
38,51,62,-11,47
30,28,36,-8,32
38,37,44,-7,49
28,27,35,-8,34
38,61,33,28,77
40,59,59,0,51
38,35,44,-9,47
38,57,49,8,57
42,36,36,0,52
42,45,50,-5,51
38,42,49,-7,45
38,77,46,31,69
36,32,60,-28,36
42,59,50,9,60
42,60,50,10,60
38,43,59,-16,49
34,36,57,-21,31
42,36,47,-11,51
38,52,54,-2,52
30,27,44,-17,29
34,60,32,28,64
42,47,55,-8,49
38,35,63,-28,35
38,33,40,-7,49
38,41,57,-16,41
38,30,35,-5,56
28,34,37,-3,34
30,23,37,-14,28
36,53,46,7,51
42,59,35,24,87
38,51,40,11,59
38,64,34,30,80
42,46,56,-10,50
38,48,44,4,52
34,31,67,-36,14
42,57,65,-8,51
38,40,48,-8,42
30,29,41,-12,31
34,26,68,-42,19
34,72,36,36,69
30,39,16,23,63
34,43,48,-5,38
34,50,54,-4,37
38,49,45,4,57
34,62,37,25,61
34,43,45,-2,43
34,60,49,11,54
38,48,44,4,46
38,42,52,-10,41
38,49,39,10,61
42,23,36,-13,35
38,67,35,32,77
34,44,60,-16,35
34,44,41,3,50
38,76,61,15,68
28,28,37,-9,36
30,30,50,-20,27
34,36,43,-7,36
34,35,49,-14,40
38,79,44,35,85
34,53,20,33,68
42,69,55,14,67
34,53,34,19,61
38,36,52,-16,45
38,65,38,27,75
34,56,41,15,52
38,73,29,44,84
38,39,58,-19,39
42,40,58,-18,44
38,61,58,3,47
34,49,50,-1,44
42,53,37,16,69
38,24,71,-47,19
38,57,25,32,82
38,34,58,-24,34
38,39,43,-4,46
34,37,55,-18,43
38,34,48,-14,43
42,48,50,-2,56
38,44,48,-4,47
36,75,63,12,51
34,66,48,18,55
38,51,69,-18,37
38,39,30,9,63
34,64,54,10,49
42,44,47,-3,50
38,35,41,-6,52
33,23,36,-13,35
34,48,54,-6,41
34,61,47,14,54
34,29,61,-32,30
42,46,49,-3,54
38,33,43,-10,41
38,49,61,-12,43
38,28,53,-25,33
34,50,62,-12,34
38,32,49,-17,42
34,43,50,-7,36
34,29,69,-40,22
34,44,45,-1,41
34,32,46,-14,42
38,60,52,8,61
34,36,52,-16,35
42,66,39,27,78
38,44,71,-27,34
38,65,47,18,69
38,28,63,-35,27
34,48,35,13,59
38,43,47,-4,42
38,31,42,-11,41
38,47,65,-18,46
34,53,56,-3,43
42,55,30,25,75
36,57,38,19,43
42,74,56,18,71
38,50,46,4,56
34,57,27,30,69
34,34,64,-30,31
34,51,56,-5,42
34,69,59,10,48
38,55,36,19,62
38,59,47,12,61
34,64,49,15,52
34,72,37,35,58
42,53,37,16,69
34,33,42,-9,43
38,41,54,-13,43
34,70,35,35,68
34,36,44,-8,43
38,59,53,6,50
38,51,53,-2,52
38,40,46,-6,42
38,33,41,-8,39
38,24,56,-32,21
38,66,48,18,64
30,29,49,-20,25
34,45,45,0,49
30,22,33,-11,31
38,36,56,-20,36
38,49,58,-9,44
38,36,59,-23,35
38,44,47,-3,47
34,57,48,9,49
34,27,66,-39,14
38,69,23,46,83
34,81,42,39,66
38,45,52,-7,47
40,35,52,-17,41
30,28,42,-14,30
42,42,52,-10,44
34,39,47,-8,44
34,65,43,22,63
38,34,51,-17,40
34,60,35,25,77
38,47,51,-4,41
38,34,55,-21,35
38,38,58,-20,38
38,52,39,13,64
36,43,84,-41,39
38,32,59,-27,33
38,44,51,-7,47
34,56,59,-3,48
40,49,53,-4,45
38,58,55,3,58
38,74,36,38,79
38,64,38,26,72
42,39,40,-1,54
38,57,46,11,64
42,37,28,9,65
34,48,41,7,48
38,34,57,-23,33
30,57,33,24,56
42,53,44,9,67
38,42,53,-11,46
38,49,50,-1,56
42,51,39,12,60
38,48,35,13,59
38,48,47,1,58
42,76,71,5,57
42,51,43,8,67
40,47,57,-10,46
42,49,55,-6,50
38,51,41,10,63
38,31,39,-8,48
38,55,39,16,66
38,54,42,12,58
34,36,53,-17,32
30,54,15,39,68
38,75,39,36,75
38,53,49,4,54
34,56,73,-17,37
38,34,41,-7,48
42,57,42,15,74
38,34,54,-20,36
38,47,79,-32,43
42,54,40,14,65
34,68,41,27,65
38,53,36,17,71
38,47,46,1,55
38,56,45,11,59
38,30,44,-14,42
42,44,54,-10,52
34,54,42,12,57
38,40,68,-28,40
42,45,66,-21,33
34,48,45,3,52
36,41,75,-34,36
42,44,37,7,56
34,67,30,37,73
38,46,49,-3,56
36,66,45,21,66
42,49,51,-2,51
34,50,75,-25,33
34,37,40,-3,48
28,28,30,-2,34
34,45,63,-18,36
34,65,28,37,76
38,50,66,-16,47
38,36,38,-2,56
38,38,43,-5,46
