GP,F,A,GD,P
38,31,54,-23,31
38,38,38,0,54
30,66,27,39,69
34,40,54,-14,35
34,39,44,-5,44
38,69,36,33,71
38,47,60,-13,42
38,47,50,-3,53
38,70,58,12,65
38,57,39,18,60
38,42,73,-31,37
38,44,48,-4,52
42,61,38,23,71
28,41,29,12,56
42,43,46,-3,59
30,30,32,-2,39
38,54,55,-1,50
36,47,42,5,56
38,38,47,-9,50
38,43,46,-3,47
38,37,52,-15,39
34,25,41,-16,34
38,51,49,2,52
36,41,57,-16,38
38,54,33,21,60
30,32,36,-4,33
38,71,31,40,74
38,35,42,-7,44
38,39,42,-3,46
38,76,49,27,75
38,29,52,-23,35
42,35,59,-24,32
35,36,47,-11,37
38,54,42,12,68
38,50,44,6,53
38,45,42,3,53
38,36,44,-8,44
34,40,59,-19,40
38,43,73,-30,28
38,68,34,34,82
38,77,39,38,78
34,39,56,-17,39
38,61,46,15,62
34,49,22,27,67
34,63,28,35,73
38,62,32,30,80
38,41,64,-23,38
38,48,50,-2,51
38,45,65,-20,39
38,66,46,20,72
34,30,65,-35,26
42,64,66,-2,64
34,53,51,2,46
34,54,54,0,52
42,48,58,-10,52
38,61,38,23,67
42,73,42,31,82
38,38,57,-19,36
42,57,50,7,59
34,68,48,20,55
36,68,45,23,60
38,43,48,-5,43
34,40,46,-6,41
30,27,37,-10,26
34,45,31,14,56
38,62,48,14,62
38,41,66,-25,44
42,37,66,-29,32
34,36,49,-13,47
38,31,62,-31,28
38,49,60,-11,44
38,68,36,32,81
30,26,34,-8,33
42,43,51,-8,47
42,52,28,24,79
38,47,48,-1,59
42,49,52,-3,55
38,52,36,16,66
34,35,71,-36,31
34,33,64,-31,28
30,31,32,-1,39
34,42,44,-2,43
38,65,51,14,62
42,43,56,-13,47
38,29,52,-23,30
38,33,64,-31,37
38,52,49,3,54
42,44,37,7,68
38,68,38,30,73
38,39,61,-22,38
42,46,57,-11,49
34,39,35,4,45
34,37,41,-4,42
42,59,56,3,55
38,34,81,-47,26
38,46,66,-20,41
34,33,34,-1,46
38,42,45,-3,52
38,38,58,-20,44
34,26,52,-26,35
38,37,62,-25,34
38,61,32,29,74
38,62,37,25,70
42,40,38,2,54
42,37,71,-34,29
38,65,46,19,63
38,52,59,-7,50
38,72,33,39,75
38,39,40,-1,45
38,54,41,13,52
42,46,78,-32,37
38,78,37,41,80
38,68,47,21,62
38,45,67,-22,42
38,48,50,-2,53
42,48,54,-6,52
38,44,35,9,55
34,50,53,-3,41
34,23,44,-21,26
38,39,51,-12,41
38,51,58,-7,42
34,46,72,-26,33
38,38,60,-22,36
34,40,48,-8,39
38,70,35,35,74
38,46,55,-9,41
38,32,58,-26,23
38,36,49,-13,40
34,56,56,0,41
38,48,35,13,67
42,51,64,-13,48
38,41,46,-5,41
38,31,61,-30,30
42,40,46,-6,50
38,41,38,3,51
38,45,53,-8,49
42,69,51,18,73
34,50,52,-2,45
34,58,48,10,47
30,37,42,-5,33
38,44,48,-4,47
38,35,76,-41,26
38,41,48,-7,52
34,40,51,-11,37
38,60,33,27,71
34,34,52,-18,37
42,56,53,3,59
34,45,38,7,51
34,55,39,16,60
38,42,45,-3,48
38,35,74,-39,26
36,64,54,10,57
38,39,64,-25,43
38,47,34,13,68
38,38,54,-16,48
34,37,48,-11,40
38,37,55,-18,36
38,64,60,4,54
42,33,35,-2,54
38,43,54,-11,45
38,46,45,1,55
38,50,64,-14,45
34,47,33,14,48
34,41,52,-11,45
34,34,54,-20,30
38,74,35,39,76
34,64,35,29,62
38,49,63,-14,46
38,48,62,-14,42
34,24,56,-32,29
34,46,70,-24,34
34,53,33,20,64
38,37,44,-7,48
34,40,41,-1,53
34,41,47,-6,41
38,51,38,13,58
42,43,56,-13,44
38,46,62,-16,35
38,42,51,-9,43
34,62,36,26,69
34,46,42,4,48
34,52,32,20,62
34,44,51,-7,32
34,49,49,0,51
38,32,42,-10,43
34,27,64,-37,20
42,49,53,-4,53
30,27,36,-9,35
38,49,66,-17,45
34,30,38,-8,36
30,34,36,-2,38
38,47,55,-8,48
38,49,50,-1,53
42,57,37,20,68
42,42,51,-9,49
38,44,47,-3,50
38,48,31,17,65
38,46,58,-12,37
38,41,49,-8,43
38,46,34,12,69
38,55,61,-6,48
38,31,38,-7,41
38,47,66,-19,44
38,60,23,37,81
38,59,29,30,72
34,49,58,-9,42
38,34,44,-10,41
34,39,56,-17,38
38,76,43,33,83
38,60,74,-14,52
38,61,50,11,58
38,51,55,-4,38
38,50,69,-19,42
34,58,27,31,65
34,53,53,0,48
38,54,47,7,60
38,29,49,-20,30
42,52,59,-7,59
38,44,38,6,52
34,70,45,25,66
38,34,77,-43,23
42,37,62,-25,33
34,31,42,-11,41
34,52,59,-7,48
42,56,71,-15,54
42,49,64,-15,50
38,71,24,47,91
34,60,29,31,74
38,52,42,10,65
34,53,41,12,53
34,62,44,18,60
38,54,35,19,70
38,83,52,31,78
42,47,45,2,66
38,53,60,-7,51
42,52,43,9,63
34,37,49,-12,43
34,30,60,-30,19
38,36,61,-25,34
30,30,31,-1,47
34,31,62,-31,25
38,74,51,23,63
38,63,41,22,70
38,55,61,-6,47
42,51,40,11,64
38,47,47,0,45
34,34,38,-4,40
42,54,51,3,54
38,47,68,-21,38
38,47,42,5,47
38,44,36,8,65
38,39,59,-20,38
38,48,46,2,58
38,47,59,-12,47
38,54,68,-14,46
34,35,68,-33,29
38,31,60,-29,34
34,22,58,-36,21
38,40,37,3,59
38,57,46,11,59
34,33,44,-11,37
38,48,47,1,50
30,58,23,35,70
38,39,62,-23,38
38,46,57,-11,45
38,54,53,1,56
38,33,59,-26,31
38,62,51,11,60
38,32,38,-6,44
38,75,39,36,81
42,55,67,-12,51
38,46,47,-1,52
30,35,33,2,40
38,38,60,-22,42
36,46,65,-19,37
30,70,26,44,68
38,35,30,5,55
38,33,38,-5,50
30,33,42,-9,28
42,47,56,-9,44
34,36,53,-17,38
38,37,44,-7,49
34,56,37,19,67
42,41,66,-25,38
38,50,32,18,67
42,36,42,-6,52
38,47,51,-4,46
34,64,44,20,58
42,57,41,16,61
38,59,60,-1,49
38,54,34,20,70
38,29,54,-25,36
42,48,56,-8,49
34,50,55,-5,42
38,50,60,-10,45
38,69,50,19,67
38,71,42,29,70
34,47,48,-1,48
38,42,79,-37,38
30,48,20,28,71
38,57,43,14,61
38,33,52,-19,30
38,55,29,26,76
30,54,29,25,59
34,45,53,-8,46
34,72,37,35,64
34,19,66,-47,16
42,34,35,-1,59
42,53,53,0,61
30,47,18,29,64
34,67,32,35,75
38,65,31,34,76
42,42,51,-9,48
38,42,55,-13,42
38,37,54,-17,42
38,69,37,32,74
34,55,50,5,51
34,46,48,-2,47
34,36,42,-6,41
42,60,44,16,72
40,50,37,13,71
34,41,50,-9,44
38,40,58,-18,44
34,55,33,22,58
38,62,44,18,61
34,47,61,-14,41
34,55,58,-3,48
38,30,64,-34,23
38,64,35,29,71
38,61,39,22,72
38,51,53,-2,49
34,29,52,-23,32
34,36,43,-7,40
36,35,46,-11,38
38,36,42,-6,49
38,26,59,-33,29
38,52,30,22,69
38,44,43,1,49
38,64,61,3,63
38,29,60,-31,32
32,35,42,-7,42
38,64,51,13,64
30,40,36,4,45
38,47,42,5,55
36,40,59,-19,42
38,34,67,-33,37
42,52,44,8,63
38,50,59,-9,47
42,53,45,8,61
38,58,56,2,56
38,34,52,-18,44
38,46,63,-17,44
38,47,48,-1,54
38,33,36,-3,53
38,52,29,23,71
38,38,34,4,47
42,44,48,-4,56
34,39,57,-18,36
38,43,62,-19,37
34,38,35,3,47
38,50,46,4,48
34,58,52,6,50
34,44,46,-2,39
38,45,44,1,58
34,55,28,27,70
34,53,40,13,54
38,41,41,0,54
38,65,24,41,82
38,38,76,-38,29
38,48,65,-17,42
34,46,65,-19,42
38,37,42,-5,44
38,43,67,-24,40
38,46,53,-7,53
34,63,43,20,64
38,36,60,-24,42
38,56,54,2,50
34,47,57,-10,38
42,55,38,17,67
34,37,35,2,45
34,30,59,-29,25
38,45,44,1,56
34,40,56,-16,34
38,65,49,16,64
34,40,46,-6,39
34,39,46,-7,37
38,59,40,19,62
34,52,54,-2,43
38,76,50,26,70
38,54,61,-7,44
30,30,38,-8,36
34,46,45,1,44
38,32,69,-37,27
34,80,41,39,69
36,46,49,-3,53
34,29,53,-24,31
34,42,45,-3,44
34,38,49,-11,44
38,38,45,-7,47
34,31,48,-17,40
38,37,72,-35,23
34,45,49,-4,40
34,49,44,5,46
42,59,35,24,72
34,55,38,17,60
38,45,52,-7,50
42,36,57,-21,45
38,56,44,12,67
38,35,37,-2,48
34,44,26,18,59
38,40,50,-10,45
42,39,65,-26,33
42,54,65,-11,50
38,39,50,-11,42
36,40,70,-30,39
42,46,51,-5,50
34,28,37,-9,37
38,43,53,-10,43
38,47,49,-2,50
38,53,45,8,63
30,37,21,16,50
38,44,50,-6,51
42,57,37,20,72
37,41,49,-8,45
38,38,35,3,48
38,31,52,-21,32
34,45,45,0,42
38,59,47,12,65
34,47,52,-5,43
34,29,38,-9,38
42,42,46,-4,45
30,60,27,33,62
34,59,46,13,49
34,48,31,17,59
38,49,47,2,50
38,71,41,30,66
38,41,67,-26,35
38,57,36,21,61
34,56,50,6,49
38,38,63,-25,36
38,48,62,-14,45
34,46,57,-11,43
42,37,69,-32,32
38,35,35,0,55
38,77,63,14,63
42,40,40,0,55
38,27,53,-26,33
34,28,60,-32,25
42,37,48,-11,51
34,39,34,5,50
38,45,45,0,44
38,28,56,-28,33
34,71,32,39,72
38,44,39,5,61
42,44,54,-10,54
42,41,41,0,57
34,45,53,-8,49
38,37,59,-22,38
34,32,60,-28,25
38,50,31,19,67
34,40,61,-21,30
38,31,50,-19,42
36,59,46,13,62
34,42,64,-22,42
34,50,44,6,57
38,34,45,-11,35
38,39,46,-7,45
34,83,44,39,71
38,50,54,-4,52
38,56,49,7,60
38,48,58,-10,45
38,40,45,-5,49
33,47,43,4,49
30,20,35,-15,36
42,39,46,-7,56
38,37,49,-12,43
34,44,64,-20,28
38,43,53,-10,48
34,33,34,-1,50
34,29,60,-31,25
28,35,25,10,50
38,58,44,14,65
34,32,41,-9,34
38,59,40,19,70
34,29,44,-15,38
38,56,60,-4,57
38,72,44,28,70
34,72,70,2,44
34,67,35,32,65
34,56,61,-5,40
38,34,40,-6,43
38,49,52,-3,49
34,52,56,-4,48
38,28,62,-34,33
34,63,55,8,51
34,49,60,-11,33
38,62,59,3,52
38,50,66,-16,41
30,27,45,-18,28
38,61,33,28,72
42,40,55,-15,50
34,33,35,-2,42
42,65,35,30,80
42,47,51,-4,52
34,40,52,-12,38
38,47,57,-10,47
34,60,43,17,58
38,45,42,3,54
34,35,51,-16,29
42,57,28,29,83
34,33,24,9,56
38,35,79,-44,25
37,51,27,24,69
34,41,33,8,60
38,54,52,2,54
34,53,32,21,57
38,50,70,-20,41
38,43,38,5,49
34,38,53,-15,43
38,38,57,-19,37
42,66,47,19,75
38,48,42,6,52
38,33,54,-21,37
34,46,51,-5,37
38,34,54,-20,40
34,31,40,-9,38
38,61,35,26,70
38,37,56,-19,40
34,43,54,-11,44
38,43,37,6,54
38,40,47,-7,46
38,36,65,-29,37
38,56,48,8,59
42,47,40,7,64
38,71,66,5,53
34,52,38,14,63
34,49,50,-1,46
36,44,50,-6,52
34,50,35,15,55
38,56,46,10,59
34,51,31,20,60
38,69,33,36,71
34,60,29,31,71
38,67,39,28,71
38,40,75,-35,33
42,62,28,34,86
38,48,47,1,47
38,50,58,-8,43
38,65,26,39,85
38,34,63,-29,28
38,35,51,-16,39
38,38,54,-16,42
38,39,46,-7,49
38,55,48,7,55
38,31,52,-21,38
38,57,57,0,58
34,39,44,-5,38
38,53,30,23,70
34,54,50,4,46
38,55,45,10,65
38,48,35,13,63
38,64,33,31,70
42,61,40,21,75
38,43,50,-7,54
34,30,59,-29,31
37,36,40,-4,53
34,47,25,22,64
38,27,52,-25,38
34,43,50,-7,36
38,40,53,-13,46
34,57,53,4,46
38,35,57,-22,42
38,38,79,-41,21
34,62,41,21,58
38,72,53,19,62
34,51,39,12,60
34,44,45,-1,46
36,54,70,-16,41
34,30,65,-35,28
34,50,60,-10,39
38,52,39,13,61
28,26,32,-6,35
34,30,54,-24,31
38,56,37,19,73
42,43,60,-17,45
42,42,37,5,57
38,57,58,-1,50
38,37,47,-10,39
38,36,60,-24,35
34,42,45,-3,41
38,39,51,-12,43
34,52,59,-7,41
30,30,44,-14,31
34,64,40,24,64
34,37,42,-5,40
30,26,38,-12,29
30,25,35,-10,37
34,46,37,9,60
38,46,52,-6,47
34,52,52,0,45
34,31,53,-22,22
42,67,58,9,60
38,46,56,-10,51
34,54,30,24,63
34,71,50,21,68
38,50,50,0,61
42,43,48,-5,50
38,36,50,-14,43
34,42,52,-10,36
34,34,46,-12,31
34,55,28,27,58
34,69,53,16,60
38,42,41,1,55
42,40,59,-19,46
38,39,47,-8,46
38,45,44,1,46
42,43,60,-17,51
42,56,42,14,67
38,46,58,-12,35
38,41,45,-4,53
38,84,38,46,75
38,57,50,7,57
30,33,52,-19,33
38,47,46,1,57
32,39,41,-2,42
38,30,57,-27,29
38,45,53,-8,55
34,46,48,-2,45
34,45,46,-1,47
36,43,32,11,58
34,48,40,8,60
34,40,63,-23,36
38,31,51,-20,36
34,33,46,-13,32
36,44,52,-8,50
36,36,49,-13,31
38,37,46,-9,47
38,67,39,28,72
38,48,56,-8,44
36,47,64,-17,30
38,42,48,-6,45
38,40,51,-11,47
34,32,48,-16,31
38,50,49,1,46
38,76,42,34,69
34,52,44,8,54
38,57,39,18,69
34,43,61,-18,36
30,24,34,-10,34
42,61,45,16,80
38,46,53,-7,40
34,47,45,2,47
38,48,53,-5,51
34,36,42,-6,47
38,55,62,-7,48
38,45,52,-7,47
38,58,36,22,67
38,50,40,10,69
34,48,47,1,48
38,42,63,-21,39
34,38,53,-15,38
38,40,45,-5,55
42,42,44,-2,59
34,45,42,3,46
34,47,42,5,57
38,39,52,-13,40
38,41,43,-2,47
38,55,42,13,54
42,38,74,-36,30
34,60,41,19,61
38,47,35,12,68
38,49,56,-7,52
38,65,59,6,53
30,23,36,-13,35
42,57,32,25,84
42,42,42,0,59
42,44,67,-23,28
38,74,37,37,79
38,44,45,-1,45
34,67,65,2,38
42,68,46,22,69
42,47,36,11,71
38,46,64,-18,52
38,42,82,-40,30
36,65,48,17,59
34,32,63,-31,26
38,50,52,-2,43
38,67,28,39,76
38,68,37,31,72
34,57,57,0,52
38,69,37,32,65
36,49,46,3,52
34,38,49,-11,41
38,44,65,-21,33
29,26,30,-4,39
38,34,55,-21,36
36,46,36,10,52
38,54,45,9,56
34,33,59,-26,30
34,28,39,-11,36
38,56,71,-15,47
38,44,37,7,48
32,41,45,-4,40
42,62,77,-15,37
34,51,75,-24,27
38,52,56,-4,46
38,48,41,7,58
38,46,51,-5,46
38,62,39,23,60
38,38,46,-8,46
38,41,45,-4,47
38,41,42,-1,46
38,60,39,21,70
34,41,50,-9,39
38,58,43,15,66
34,59,34,25,62
30,23,44,-21,23
38,50,61,-11,42
30,54,32,22,59
38,55,28,27,76
34,42,60,-18,36
30,48,43,5,43
30,31,54,-23,25
42,78,40,38,85
38,34,68,-34,30
42,46,68,-22,46
28,44,44,0,40
38,39,54,-15,39
38,37,43,-6,46
42,51,57,-6,53
38,56,47,9,62
38,46,19,27,75
34,28,49,-21,27
34,39,65,-26,28
38,44,62,-18,49
34,46,42,4,65
34,67,35,32,60
38,23,43,-20,44
38,44,40,4,52
34,39,47,-8,43
38,46,48,-2,57
38,52,50,2,49
34,41,58,-17,41
34,62,46,16,57
42,68,35,33,81
38,45,44,1,54
38,33,45,-12,44
38,47,52,-5,48
34,41,50,-9,38
34,44,36,8,46
42,55,43,12,68
38,74,33,41,80
38,43,52,-9,44
42,29,60,-31,32
38,37,53,-16,42
38,34,50,-16,44
38,47,41,6,52
34,51,49,2,52
38,57,41,16,62
38,42,57,-15,45
38,72,49,23,62
38,34,57,-23,31
36,48,51,-3,42
34,56,53,3,46
34,45,37,8,51
34,37,44,-7,43
42,38,50,-12,32
30,47,26,21,59
34,73,30,43,77
34,42,38,4,45
38,42,49,-7,42
38,36,49,-13,34
38,53,53,0,47
36,69,36,33,69
42,80,62,18,59
38,47,51,-4,48
38,56,31,25,62
30,36,47,-11,40
38,35,52,-17,42
34,43,55,-12,46
38,46,39,7,56
42,38,65,-27,49
38,58,37,21,64
30,30,50,-20,24
34,45,56,-11,43
34,45,52,-7,45
30,21,45,-24,24
38,35,45,-10,40
38,42,41,1,50
38,35,60,-25,36
34,33,46,-13,37
38,53,34,19,67
34,71,32,39,74
38,41,47,-6,45
34,31,71,-40,21
38,44,65,-21,37
38,30,54,-24,39
34,57,34,23,60
38,58,45,13,62
38,73,36,37,78
34,49,49,0,51
38,46,42,4,53
38,29,59,-30,43
34,44,47,-3,43
38,32,45,-13,47
38,36,60,-24,46
38,47,61,-14,45
38,28,58,-30,37
38,36,64,-28,34
38,28,53,-25,31
38,80,35,45,82
38,37,67,-30,30
34,37,43,-6,36
34,46,34,12,52
42,44,54,-10,44
34,60,40,20,60
38,51,42,9,50
38,41,59,-18,36
34,29,50,-21,38
38,46,53,-7,48
38,36,52,-16,41
38,59,51,8,62
38,34,45,-11,42
42,51,50,1,63
34,37,45,-8,38
38,49,35,14,66
42,55,39,16,64
38,48,68,-20,34
38,68,54,14,62
38,38,45,-7,43
34,36,43,-7,35
34,40,29,11,55
34,33,61,-28,38
38,44,55,-11,41
42,43,54,-11,49
38,48,60,-12,41
28,30,29,1,44
42,59,53,6,65
34,44,41,3,51
28,31,50,-19,23
34,38,57,-19,35
30,45,27,18,50
30,25,38,-13,35
38,55,43,12,60
38,42,50,-8,42
38,58,55,3,54
34,40,41,-1,47
34,58,32,26,73
38,39,57,-18,34
38,36,52,-16,46
42,73,46,27,64
42,62,55,7,66
40,43,55,-12,48
42,58,61,-3,49
35,50,50,0,48
38,56,44,12,52
34,57,39,18,61
38,61,36,25,71
38,42,41,1,60
34,53,44,9,56
34,45,40,5,59
38,63,46,17,66
42,32,53,-21,44
38,49,45,4,48
38,75,34,41,82
38,49,31,18,69
38,44,35,9,60
38,72,43,29,68
38,37,59,-22,34
38,39,46,-7,46
38,58,40,18,73
38,58,44,14,67
38,43,51,-8,50
34,32,56,-24,27
34,41,36,5,52
32,31,33,-2,38
34,68,38,30,70
34,32,49,-17,33
38,51,39,12,59
38,66,32,34,78
34,63,34,29,64
38,38,43,-5,46
34,41,36,5,42
38,58,26,32,77
38,45,41,4,49
34,30,47,-17,31
38,44,52,-8,42
38,41,61,-20,41
38,42,32,10,63
30,32,36,-4,38
42,50,66,-16,50
36,38,51,-13,39
28,27,29,-2,35
38,46,51,-5,46
37,60,30,30,75
34,77,39,38,65
32,57,33,24,56
30,43,33,10,45
34,64,50,14,45
38,51,59,-8,40
42,65,45,20,70
38,69,36,33,78
34,46,43,3,49
34,47,35,12,50
38,68,36,32,76
34,38,48,-10,42
38,67,40,27,73
38,40,52,-12,47
38,41,58,-17,44
34,46,40,6,56
42,35,46,-11,49
34,23,55,-32,26
38,34,41,-7,37
34,63,27,36,72
38,25,73,-48,21
28,43,35,8,46
34,44,49,-5,46
38,45,52,-7,41
34,49,24,25,60
34,27,31,-4,41
38,43,55,-12,47
38,70,32,38,77
38,53,38,15,68
38,33,49,-16,36
42,38,44,-6,52
42,43,48,-5,56
38,38,47,-9,43
42,54,63,-9,42
38,70,33,37,77
38,32,43,-11,42
42,46,58,-12,45
34,66,39,27,67
38,42,35,7,65
34,43,52,-9,42
38,49,42,7,55
38,39,54,-15,38
30,26,38,-12,34
42,82,43,39,78
34,63,46,17,53
34,47,68,-21,35
38,39,51,-12,44
38,36,67,-31,32
36,55,66,-11,43
38,43,35,8,59
42,60,54,6,63
36,78,36,42,78
38,33,56,-23,29
42,37,42,-5,52
34,26,46,-20,29
38,46,57,-11,41
30,39,41,-2,37
38,40,49,-9,47
34,36,57,-21,36
38,46,65,-19,38
28,38,24,14,50
34,49,30,19,59
38,52,49,3,56
38,60,39,21,62
38,41,50,-9,46
38,42,55,-13,39
38,42,35,7,53
37,38,42,-4,45
36,37,33,4,49
38,41,41,0,39
38,38,68,-30,38
38,49,49,0,50
38,43,46,-3,52
38,44,30,14,60
42,56,49,7,60
38,34,52,-18,45
38,55,52,3,46
38,68,24,44,83
38,31,62,-31,31
42,59,38,21,77
42,47,48,-1,50
38,64,26,38,80
38,46,44,2,48
38,61,56,5,56
38,74,49,25,70
38,40,51,-11,40
34,44,71,-27,32
34,46,51,-5,47
30,40,24,16,55
38,40,48,-8,39
38,34,60,-26,34
30,32,37,-5,35
38,36,46,-10,52
32,32,39,-7,36
38,42,72,-30,31
38,40,77,-37,28
38,52,55,-3,55
38,40,65,-25,33
38,68,35,33,73
38,49,38,11,57
42,41,51,-10,51
38,54,46,8,56
38,46,57,-11,34
38,45,51,-6,47
38,34,53,-19,35
38,45,38,7,63
